interaction,total,uterine_carcinosarcoma,kidney_papillary_cell_carcinoma,kidney_chromophobe,kidney_clear_cell_carcinoma,brain_lower_grade_glioma,glioblastoma_multiforme,testicular_germ_cell_tumor,liver_hepatocellular_carcinoma,prostate_adenocarcinoma,lung_squamous_cell_carcinoma,lung_adenocarcinoma,breast_invasive_carcinoma,ovarian_serous_cystadenocarcinoma,skin_cutaneous_melanoma,pancreatic_adenocarcinoma,colon_adenocarcinoma,esophageal_carcinoma,stomach_adenocarcinoma
PTGIS-PTGIR,4,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
SPP1-ITGAV+ITGB3,4,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False
TNC-ITGA8+ITGB1,4,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False
COL8A1-ITGA10+ITGB1,4,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
LAMC1-ITGAV+ITGB3,4,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False
SLIT2-ROBO1,4,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False
THBS1-CD36,4,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
CCL4-CCR5,4,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False
LAMB1-CD44,4,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False
LAMA4-CD44,4,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False
COL5A3-ITGA10+ITGB1,4,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
FGF2-FGFR2,4,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
ADM-RAMP3,4,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
PTGDS-PTGER2,4,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False
LAMC2-ITGAV_ITGB8,4,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
APP-SORL1,4,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
NLGN3-NRXN2,4,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False
SEMA4C-PLXNB2,4,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False
NAMPT-INSR,4,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
ANGPTL4-SDC1,4,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False
ANGPTL4-CDH11,4,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
VEGFA-NRP1,4,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False
COL6A3-ITGA10+ITGB1,4,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
COL1A1-ITGA1+ITGB1,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False
WNT5A-FZD4,3,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
ADM-CALCRL,3,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
EFNA4-EPHA3,3,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False
WNT5A-FZD5,3,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
EFNB1-EPHB6,3,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
EFNB2-EPHA4,3,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
CLSTN3-NRXN2,3,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False
CD274-PDCD1,3,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False
CNTN1-NRCAM,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
WNT9A-FZD10+LRP5,3,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
WNT2B-SFRP1,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
WNT4-SFRP4,3,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
WNT4-SFRP1,3,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
WNT4-SFRP2,3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
IGF1-IGF1R,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
